# word	per_million
# Source: Google Books Ngram Viewer 1-gram English dataset (20120701),
# https://books.google.com/ngrams/info -- freely usable, no share-alike.
# Regenerate with scripts/build_english_frequency.py. Top 15000 words
# by total occurrence across a corpus of 378277505813 tokens.
lost	159.5778
complete	159.2432
behind	158.9119
taking	158.5072
wife	158.1751
lines	157.8549
hours	157.5318
object	157.5139
twenty	157.3684
established	157.3396
committee	157.1186
related	157.0781
range	157.0705
truth	156.9253
income	156.8268
instead	156.6115
beyond	156.5291
rest	156.2605
developed	156.1138
outside	156.0692
organization	155.4090
religious	155.2427
board	155.0790
live	154.9596
l	154.7396
design	154.7145
needs	154.4702
persons	154.3119
except	154.2814
authority	154.2483
patient	153.9270
respect	153.5987
latter	153.5307
sure	153.4478
culture	153.3310
relationship	153.2746
ten	152.9413
methods	152.9082
followed	152.5470
william	152.3556
condition	152.3307
points	152.2141
addition	152.1522
direct	151.9328
seem	151.7316
industry	151.6537
college	151.5097
friends	151.1261
beginning	151.1196
hundred	151.0646
manner	151.0426
front	151.0074
original	150.7764
patients	150.7637
appear	150.6562
include	150.2325
shows	149.9115
ways	149.7357
activities	149.4954
relations	148.4707
writing	148.2443
council	147.9888
disease	147.9374
standard	147.9058
fire	147.7669
german	147.7471
france	147.6379
degree	147.4282
towards	147.3969
produced	147.3831
leave	147.3029
understand	147.2014
cells	147.1101
average	147.0143
march	146.7421
carried	146.6565
length	146.4841
difference	146.1639
simply	145.6921
normal	145.6299
vol	145.5268
quality	145.4451
street	145.4109
run	145.2277
answer	145.0494
morning	144.9291
loss	144.9190
doing	144.8516
stage	144.8223
pay	144.4531
today	144.0223
decision	144.0043
labor	143.7156
page	143.1651
v	142.7706
published	142.7226
workers	142.4240
bank	142.3732
top	142.3374
wanted	142.1529
journal	142.0802
passed	141.7021
door	141.6501
p	141.0972
importance	140.9157
western	140.8926
tax	140.6656
involved	140.4424
solution	140.1096
hope	140.0980
voice	139.8761
reading	139.6775
obtained	139.5841
bring	139.3624
peace	139.3561
needed	139.2523
placed	138.8581
chief	138.7042
species	138.4934
added	138.4870
europe	137.9679
looking	137.9189
factors	137.7804
laws	137.7647
behavior	137.7002
die	137.6600
response	137.2229
led	137.0330
association	137.0208
performance	137.0093
road	136.7337
issue	136.6982
consider	136.6682
learning	136.4592
equal	136.4577
india	136.4541
training	136.4385
forces	136.3542
cut	136.1933
earlier	136.1136
basic	136.0822
member	135.9816
friend	135.8692
lead	135.8309
appears	135.7511
types	135.7505
schools	135.7113
music	135.6530
james	135.6177
temperature	135.5279
christian	135.2676
volume	135.1268
kept	134.9960
review	134.8760
significant	134.8209
former	134.6194
j	134.6000
meaning	134.5100
associated	134.4465
wrote	133.8900
center	133.2900
direction	133.2713
everything	132.4555
job	132.4063
understanding	132.2558
region	132.1026
big	131.5011
hold	131.4419
opinion	131.4033
june	131.3439
text	131.3257
date	131.0360
application	131.0355
author	130.9756
f	130.6720
cell	130.6157
distribution	130.5946
fall	130.5629
becomes	130.5514
washington	130.4666
limited	130.2962
indian	130.2374
presence	130.1477
sound	130.0098
iii	129.8089
meeting	129.7047
clearly	129.3281
expected	129.3135
federal	129.0607
nearly	128.5079
r	128.4277
ed	128.3692
extent	128.3639
parents	128.3435
yes	128.0729
ideas	128.0712
medical	127.8054
observed	127.7561
actually	127.7332
final	127.7170
george	127.6888
miles	127.5957
elements	127.5366
list	127.2043
project	127.1973
product	127.1638
throughout	127.1322
christ	126.8238
discussion	126.6761
applied	126.3417
rules	126.1598
produce	126.0770
religion	126.0143
deep	125.9938
operation	125.7022
